S No,Zone,State,City,Name,Type,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Significance,Best Time to visit
0,Northern,Delhi,Delhi,India Gate,War Memorial,4.6,0,Yes,Historical,Evening
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,4.5,30,Yes,Historical,Afternoon
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,4.6,60,Yes,Religious,Afternoon
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,4.1,50,Yes,Environmental,Evening
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,4.2,15,Yes,Scientific,Morning
5,Northern,Delhi,Delhi,Chandni Chowk,Market,4.2,0,Yes,Market,Afternoon
6,Northern,Delhi,Delhi,Lotus Temple,Temple,4.5,0,Yes,Religious,Evening
7,Northern,Delhi,Delhi,Red Fort,Fort,4.5,35,Yes,Historical,Afternoon
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,4.2,0,Yes,Historical,Afternoon
9,Northern,Delhi,Delhi,Sunder Nursery,Park,4.6,0,Yes,Botanical,Afternoon
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,4.1,35,Yes,Botanical,Morning
11,Northern,Delhi,Delhi,Lodhi Garden,Park,4.5,0,Yes,Botanical,All
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,4.5,20,Yes,Artistic,All
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,4.1,80,Yes,Environmental,All
14,Northern,Delhi,Delhi,Qutub Minar,Monument,4.5,35,Yes,Historical,Afternoon
15,Northern,Delhi,Delhi,National Science Centre,Science,4.4,70,Yes,Scientific,All
16,Western,Maharastra,Mumbai,Marine Drive,Promenade,4.5,0,Yes,Scenic,Evening
17,Western,Maharastra,Mumbai,Gateway of India,Monument,4.6,0,Yes,Historical,All
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,4.6,500,Yes,Historical,All
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,4.3,50,Yes,Wildlife,All
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,4.8,0,Yes,Religious,All
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,4.7,0,Yes,Religious,All
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,4.4,0,Yes,Religious,All
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,4.3,0,Yes,Recreational,Evening
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,4.3,1149,Yes,Recreational,All
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,4.3,550,Yes,Historical,All 
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,1.4,1149,No,Recreational,All
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,4.2,500,Yes,Historical,Morning
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,4.4,20,Yes,Nature,Evening
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,4.4,0,Yes,Nature,Morning
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,4.6,0,Yes,Architectural,Morning
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,4.6,0,Yes,Religious,Evening
32,Southern,Telangana,Hyderabad,Charminar,Landmark,4.5,25,Yes,Historical,Morning
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,4.4,30,Yes,Historical,Morning
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,4.3,0,Yes,Scenic,Evening
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,4.4,1150,Yes,Entertainment,All
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,4.4,20,Yes,Historical,All
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,4.4,25,Yes,Historical,Morning
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,4.7,0,Yes,Religious,All
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,4.4,80,Yes,Historical,Morning
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,4.2,50,Yes,Wildlife,Morning
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,4.1,20,Yes,Recreational,Evening
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,4.6,30,Yes,Historical,Morning
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,4.6,0,Yes,Architectural,Anytime
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,4.6,50,Yes,Historical,Morning
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,4.7,0,Yes,Religious,Morning
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,4.4,0,Yes,Religious,Morning
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,4.1,2500,Yes,Sports,All
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,4.3,25,Yes,Wildlife,Afternoon
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,4.4,60,Yes,Educational,All
50,Eastern,West Bengal,Kolkata,Belur Math,Site,4.7,0,Yes,Religious,Morning
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,4.4,0,Yes,Historical,Afternoon
52,Southern,Goa,Goa,Calangute Beach,Beach,4.4,0,Yes,Scenic,Evening
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,4.5,0,Yes,Historical,Afternoon
54,Southern,Goa,Goa,Fort Aguada,Fort,4.2,0,Yes,Historical,Morning
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,4.6,500,Yes,Nature,Afternoon
56,Southern,Goa,Goa,Anjuna Beach,Beach,4.4,0,Yes,Scenic,Evening
57,Southern,Goa,Goa,Chapora Fort,Fort,4.2,0,Yes,Historical,Evening
58,Southern,Goa,Goa,Se Cathedral,Church,4.5,0,Yes,Historical,Afternoon
59,Southern,Goa,Goa,Baga Beach,Beach,4.5,0,Yes,Scenic,Evening
60,Southern,Goa,Goa,Arambol Beach,Beach,4.6,0,Yes,Scenic,Evening
61,Southern,Goa,Goa,Palolem Beach,Beach,4.6,0,Yes,Scenic,Evening
62,Southern,Goa,Goa,Colva Beach,Beach,4.3,0,Yes,Scenic,Evening
63,Southern,Goa,Goa,Miramar Beach,Beach,4.2,0,Yes,Scenic,Evening
64,Southern,Goa,Goa,Aguada Beach,Beach,4.5,0,Yes,Scenic,Evening
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,3.9,10,Yes,Wildlife,Afternoon
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,4.6,0,Yes,Historical,Morning
