Hotel_Name,Hotel_Rating,City,Hotel_Price,Feature
Crowne Plaza Kochi,4.6,kochi,8854.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Trident Hotel Cochin,4.5,kochi,6441.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
The Galaxy Suites,3.8,kochi,831.0,"Apartment,Sleeps 10,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,No fireplace"
The Renai cochin,4.2,kochi,2768.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Ramada by Wyndham Kochi,4.5,kochi,8938.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
The Renai cochin,4.2,kochi,2768.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
"Radisson Blu Hotel, Kochi",4.3,kochi,6061.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
"Holiday Inn Cochin, an IHG Hotel",4.4,kochi,5689.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
OAK FIELD INN,3.8,kochi,819.0,"Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0"
Grand Hyatt Kochi Bolgatty,4.7,kochi,14282.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Hotel South Gate Residency,3.9,kochi,1051.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly"
Cherai Beach Resorts,3.9,kochi,3281.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access"
North Centre Hotel,4.7,kochi,1118.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Airport shuttle,Full-service laundry,Kid-friendly,Smoke-free"
Boche Island - Kumbalangi,4.1,kochi,5855.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Spa,Restaurant"
Trident Hotel Cochin,4.5,kochi,5406.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,kochi,4692.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service"
Ayurjani Ayurvedics,4.2,kochi,896.0,"Sleeps 4,2 bedrooms,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board"
Niko Hotels,4.6,kochi,2073.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible"
Crowne Plaza Kochi,4.6,kochi,8776.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
The Gateway Hotel Marine Drive Ernakulam,4.3,kochi,7252.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Napier Heritage Fort Kochi,4.5,kochi,3808.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry"
"Radisson Blu Hotel, Kochi",4.3,kochi,6039.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Maurya Rajadhani,4.0,trivandrum,2812.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar"
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,trivandrum,2898.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry"
